file	line_or_json_path	claim_text	classification	reason	recommended_action
paper/main.tex	26	Inverted singlet--triplet gap (INVEST) discovery is constrained by the cost of correlated excited-state labels: the small target-domain set available for any new campaign is typically defined at a level of theory different from the larger historical corpus, and exhaustive higher-level validation acr	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper/main.tex	41	The novelty of the present work is two-fold. First, we demonstrate that a single round of scaffold-resolved active learning can decisively prune a low-data INVEST design library: 15 carefully chosen queries, drawn from a four-bucket acquisition heuristic that mixes uncertainty, near-zero predictions	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper/main.tex	46	  \caption{Closed-loop workflow used in this study. The source model is trained on 446 Pollice ADC(2)/cc-pVDZ labels, corrected on a 33-molecule RI-ADC(2)/def2-SVP target set, challenged on 15 round-1 acquisitions, and summarized on a 35-molecule validated decision table. Higher-level SCS-CC2 cross-	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper/main.tex	74	Primary validation used RI-ADC(2)/def2-SVP calculations with the \texttt{ricc2} module of Turbomole 7.5.1.\cite{TURBOMOLE2024} All 13 INVEST candidates (10 negative-gap + 3 dark negative-gap) additionally received SCS-CC2/def2-SVP cross-checks, used as independent higher-level comparisons for sign c	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper/main.tex	150	The validation tier of the workflow is hierarchical: ADC(2)/def2-SVP is the primary post-Hartree--Fock label across all 35 molecules (10 negative-gap, 3 dark negative-gap, 1 borderline, 21 positive-gap), and SCS-CC2/def2-SVP is deployed across all 13 negative-or-dark-negative-gap candidates as a pop	OK_SCREENED_COHORT_SIGN_EVIDENCE	13/13 claim with both screened-cohort disclaimer and rule-of-three present in window.	no action
paper/main.tex	155	  \caption{Final decision landscape for the 35 validated molecules. Four molecules additionally have SCS-CC2 cross-checks, and one heptazine is promoted from the ADC(2) borderline window by the higher-level result stored in the validated decision table.}	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper/main.tex	161	Operationally, the thirteen SCS-CC2 cross-checks deliver three pieces of evidence that the workflow needs at this stage: (i) sign-level confirmation of the ADC(2)/def2-SVP classifications for every INVEST candidate (0 sign disagreement in the screened cohort), (ii) one direct rescue of an ADC(2)-bor	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper/main.tex	166	  \caption{Cross-method comparison for the 13 ADC(2)-screened INVEST candidates that received both ADC(2)/def2-SVP and SCS-CC2/def2-SVP validation. SCS-CC2 reproduces the negative sign in all 13 cases (0 disagreement; the 13 molecules are not an i.i.d.\ sample but a cohort pre-screened to be INVEST,	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper/main.tex	170	Hz\_NH23 anchors the deep end of the heptazine class within the workflow ($-\SI{383}{meV}$ by ADC(2)/def2-SVP, $-\SI{558}{meV}$ by SCS-CC2/def2-SVP); its oscillator strength is effectively zero, so we retain it in the validated table as a dark negative-gap mechanistic endpoint rather than as an emit	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper/main.tex	177	The scope of the present workflow is defined by the scale of the available evidence and is by design tuned for scaffold-level prioritization rather than for fine candidate-level ranking. First, the low-level calibration rests on five anchor molecules and is used as a coarse screening device rather t	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
